Date,ShareLink,ShareCommentary,SharedURL,MediaURL,Visibility
16-06-2019 13:35,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6546017160467144704,"So, is Data Science for everyone ?""
""""
""""1 Million Data Scientists shortage"" , ""
""""Average pay of 15-20LPA"" ""
""        Are these your reasons to become a data scientist ?""
""""
""If yes, please stop. !! ""
""""
""You gotta really enjoy the day to day work /life of a data scientist. Only then you will survive. ""
""""
""I have a quiz prepared which will give you a glimpse of day to day work of  a Data Scientist. ""
""""
""Not a tech or coding quiz !!""
""""
""Interested ?? Comment here, I will PM details ""
""""
""PS : I reached out to 150 people who commented last time.",,,MEMBER_NETWORK
14-06-2019 01:14,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6545106052835303424,,,,MEMBER_NETWORK
11-06-2019 05:46,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6544087399163625472,"It's a proud moment for me today.I couldn't make it to an IIT but today I could send my student to IIT.""
""""
""One of my student Shravya Chillamcherla has made it into prestigious IIT Hyderabad - Masters In Data Science Program - a highly selective program with only 1% acceptance. ""
""""
""She joined my End to End Data Science program and 6 months of mentoring and 100 hours of teaching, didn't go in vain. In spite of her personal issues and boring professional work, she never gave up. ""
""""
""I never gave up on her even after 4 rounds of screening, we kept fingers crossed.""
""""
""Proud of you girl :)""
""""
""""
""1 year of hard work to create the course is full worth it ""
""""
""Thank you Amit Choudhary , Awantik Das Sachin Tripathi Deepak Murugaian Neeraj Krishnamoorthy  and many others who are always with me.  ""
""""
""Interested for End to End Data Science course ?""
""""
""Comment or PM me",,,MEMBER_NETWORK
10-06-2019 03:44,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6543694194316275712,"Some times challenge associated with a job drives us more than outcome associated with job...!!""
""""
""Did you ever choose challenging job over 'plush' job ? Let me know the result !! ",,,MEMBER_NETWORK
09-06-2019 06:44,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6543377125582434304,"One important learning from Andrew NG Course - AI for everyone""
""""
""Machine Learning still continues to be the most used technique even in many applications of self driving car as well. ""
""""
""My advice for #aspirants, get really good with ML. Depth is always rewarded. ""
""""
""Let me know how you are learning ML in depth in comments. ""
""""
""I will share my ideas tomorrow.,",,,MEMBER_NETWORK
08-06-2019 09:22,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6543054593595670528,"""
""Ankit Rathi has been an inspiration and mentor to many and Sachin Tripathi is another inspiring student of mine.  And I eagerly waited for both of them on AI pe Charcha.""
""""
""I thoroughly enjoyed every moment and word spoken. Clean and precise. The T Analogy for breadth and depth , diverse book recommendations, education system perspective, journey on probability and stats book were very special !!""
""""
""And Sachin Tripathi congrats again on your journey of pulling out modest people and telling them - ""I know how many likes you get""  - that was hilarious. Ankit had tough time being composed 😛 and you gotta check your playlist. It has got class imbalance issue 😛""
""""
""Resolve it at earliest.",,,MEMBER_NETWORK
08-06-2019 00:48,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6542925058057306112,,,,MEMBER_NETWORK
07-06-2019 03:29,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6542603152754077696,"As he arrived 2 minutes late to the hospital, the nurse denied that guy a visit to his father ailing in ICU. ""
""""
""Unfortunately, his father passed that night exactly after a week his mother died. ""
""""
""Had he been 2 minutes early or had the nurse been generous enough, he could have spoken to his father for one last time. ""
""""
""From this incident he understood importance of discipline and habits which made him earn as many bucks as there are stars in sky !!""
""""
""His company still remains one of the best success story on how habits can influence a organization. !!""
""""
""Who is he ??",,,MEMBER_NETWORK
06-06-2019 03:55,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6542247503272701952,"*********** Linkedin is not facebook *****************""
""""
""""
""If Einstein's theory of relativity belongs to Linkedin, then Charlie Chaplin first audition should also belongs to Linkedin.""
""""
""""
""I saw diverse professions here on Li, a journalist writes profound articles on corruption , a stand up comedian jokes about cricketer turned politician , an IPS officer motivates exam goers, a clinical psychologist writes about how to overcome breakups , a content writer shows his latest work on chai, a very creative woman makes gifts for valentines, a social worker writes about cab drivers and blood donations , a politician writes on his party ideologies and a governor of a state showing how to govern from ground.""
""""
""""
""The diversity in professions is so huge that defining 'profession' has become very difficult.""
""""
""""
""If you find any content entertaining to you, please don't undermine the efforts in producing it or intentions behind it.""
""""
""Yes, Linkedin is not facebook.""
""""
""But for some, making others entertain or empathize is a profession and every profession belongs to LinkedIn. !!""
""""
""The line is very thin. Trespassing is just an perspective !!",,,MEMBER_NETWORK
03-06-2019 04:50,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6541174050352402432,"""This is Linkedin is not facebook""""
""""
""This comment disturbed me. Recently I came across a post where a girl shared screenshot of a random guy's message 'Let's be friends' and she passed the comment. ""
""""
""I don't have a problem with girl bashing the guy and I don't support that guy as its wrong to do it here. In case you are starting a change .org petition to criminalize 'Let's be friends"" message, let me know, I will sign.  ""
""""
""I don't have a problem the girl bashing Linkedin as well. ""
""""
""But what has facebook done ?. Where did you accept random people as connects/friends ? Undoubtedly Linkedin. Hence 'date'hunters choose this place. Fb was still better !!  In the rage of bashing,we shouldn't include everything""
""""
""Poor Chap, Zuck has to collaborate with some popular edutech and give out 'privacy' scholarship for a few chaps every hour for three days and make sure they share it on Linkedin and see that those posts never die. ""
""""
""""
""Guys, don't send 'let's be friends' messages to random girls""
""Girls, you can bash any one. ""
""""
""And scholars, congratulations. At least complete the courses this time. I heard that last time most of you sought extension in name of grandfather demise.",,,MEMBER_NETWORK
